title;artist;top genre;year;bpm;nrgy;dnce;dB;live;val;dur;acous;spch;pop
All This Time;OneRepublic;dance pop;2009;145;37;41;-11;11;11;243;43;3;52
Stop;Sam Brown;british soul;1988;186;30;33;-14;14;39;296;44;5;52
Туманы;Макс Барских;russian dance pop;2016;123;64;75;-6;22;53;206;23;6;51
Broken Ones;Jacquie;;2014;148;72;45;-4;13;21;229;6;5;51
Livin' in a World Without You;The Rasmus;funk metal;2008;101;88;59;-5;47;42;230;1;4;51
California Dreaming (feat. Paul Rey);Arman Cekin;bass trap;2016;100;75;71;-7;13;10;186;53;4;51
Far Away;Nickelback;alternative metal;2005;133;80;52;-5;11;29;238;0;3;51
"Your Song - From ""Moulin Rouge"" Soundtrack";Ewan McGregor;hollywood;2001;133;33;28;-9;11;26;219;52;4;51
A Million on My Soul;Alexiane;;2017;85;87;63;-5;8;48;247;4;4;51
Номер 1;Artik & Asti;russian dance pop;2017;125;90;69;-7;14;66;179;26;5;50
